,Unnamed: 0,ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
5779,8662,12276499,JE117148,1/19/2021 13:30,079XX S DOBSON AVE,560,ASSAULT,SIMPLE,APARTMENT,False,True,624,6,8.0,44,08A,1184600.0,1852604.0,2021,1/26/2021 15:51,41.75070845,-87.5991061,"(41.750708453, -87.599106098)"
4198,6307,12273405,JE117361,1/14/2021 18:50,041XX W 48TH ST,486,BATTERY,DOMESTIC BATTERY SIMPLE,RESTAURANT,False,True,815,8,14.0,57,08B,1149392.0,1872476.0,2021,1/21/2021 15:51,41.80599246,-87.72761304,"(41.805992462, -87.727613041)"
18910,27383,12304512,JE156032,2/28/2021 3:00,016XX W 103RD ST,1320,CRIMINAL DAMAGE,TO VEHICLE,PARKING LOT / GARAGE (NON RESIDENTIAL),False,False,2212,22,19.0,72,14,1167260.0,1836419.0,2021,3/7/2021 15:52,41.70668287,-87.66310981,"(41.706682871, -87.663109809)"
16741,24277,12299892,JE150503,2/23/2021 23:00,058XX S PAULINA ST,430,BATTERY,AGGRAVATED - OTHER DANGEROUS WEAPON,STREET,False,True,715,7,15.0,67,04B,1166006.0,1866112.0,2021,3/2/2021 15:50,41.78819142,-87.66685972,"(41.788191418, -87.666859716)"
20064,29065,12307291,JE159319,3/4/2021 18:17,019XX N PULASKI RD,1320,CRIMINAL DAMAGE,TO VEHICLE,CTA BUS,False,False,2535,25,26.0,20,14,1149399.0,1912823.0,2021,3/11/2021 15:47,41.91670937,-87.7265415,"(41.916709372, -87.7265415)"
2915,4394,12266261,JE109067,1/10/2021 17:10,005XX W ROOSEVELT RD,880,THEFT,PURSE-SNATCHING,STREET,False,False,124,1,25.0,28,6,1173209.0,1894980.0,2021,1/17/2021 15:49,41.86725154,-87.63959443,"(41.867251542, -87.639594427)"
29057,42288,12328376,JE184257,3/30/2021 13:32,073XX N RIDGE BLVD,810,THEFT,OVER $500,APARTMENT,False,False,2424,24,49.0,1,6,1160766.0,1948476.0,2021,4/6/2021 17:03,42.01431465,-87.68378626,"(42.014314646, -87.683786255)"
16487,23905,12298774,JE148529,2/22/2021 8:00,049XX W NORTH AVE,890,THEFT,FROM BUILDING,ATHLETIC CLUB,False,False,2533,25,37.0,25,6,1143333.0,1910186.0,2021,3/1/2021 15:46,41.90958877,-87.74889413,"(41.909588772, -87.748894125)"
22077,32081,12311104,JE163769,3/9/2021 12:15,047XX N KIMBALL AVE,454,BATTERY,"AGGRAVATED P.O. - HANDS, FISTS, FEET, NO / MINOR INJURY",CTA STATION,True,False,1713,17,33.0,14,08B,1152858.0,1931371.0,2021,3/20/2021 16:49,41.96753862,-87.71334024,"(41.967538619, -87.713340244)"
15561,22568,12299945,JE141366,2/14/2021 9:55,100XX S VERNON AVE,820,THEFT,$500 AND UNDER,APARTMENT,False,True,511,5,9.0,49,6,1181014.0,1838513.0,2021,2/26/2021 15:45,41.71212429,-87.61267911,"(41.712124289, -87.612679114)"
3980,5994,12270097,JE113370,1/1/2021 3:00,022XX S KIRKLAND AVE,1153,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,RESIDENCE,False,False,1013,10,22.0,29,11,1147704.0,1888724.0,2021,1/20/2021 15:51,41.85061173,-87.73338793,"(41.850611727, -87.733387928)"
269,376,12260866,JE102702,1/4/2021 8:00,086XX S WALLACE ST,460,BATTERY,SIMPLE,CTA BUS STOP,False,False,2223,22,21.0,71,08B,1173826.0,1847155.0,2021,1/16/2021 15:49,41.73600121,-87.63874812,"(41.736001208, -87.63874812)"
31672,46101,12333967,JE191908,4/7/2021 3:30,015XX N LINDER AVE,486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,True,True,2532,25,37.0,25,08B,1139391.0,1909733.0,2021,4/14/2021 17:57,41.90841848,-87.7633866,"(41.908418479, -87.763386603)"
4834,7224,12272403,JE116067,1/16/2021 10:30,008XX E 79TH ST,1310,CRIMINAL DAMAGE,TO PROPERTY,STREET,False,False,624,6,8.0,44,14,1183383.0,1852811.0,2021,1/23/2021 15:54,41.7513049,-87.60355928,"(41.751304895, -87.603559282)"
30923,44988,12331702,JE189016,4/4/2021 9:00,052XX N CICERO AVE,486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,False,True,1621,16,39.0,12,08B,1143400.0,1934567.0,2021,4/11/2021 17:07,41.97649123,-87.74803642,"(41.976491233, -87.748036424)"
15800,22921,12296936,JE146869,2/20/2021 0:01,101XX S FOREST AVE,820,THEFT,$500 AND UNDER,VEHICLE NON-COMMERCIAL,False,False,511,5,9.0,49,6,1180038.0,1837779.0,2021,2/27/2021 15:46,41.71013246,-87.61627586,"(41.710132457, -87.61627586)"
13666,19853,12289785,JE137476,2/9/2021 23:25,067XX N SHERIDAN RD,1310,CRIMINAL DAMAGE,TO PROPERTY,APARTMENT,False,False,2432,24,49.0,1,14,1167031.0,1944858.0,2021,2/19/2021 15:45,42.00425404,-87.66083827,"(42.004254037, -87.660838271)"
19556,28333,12305340,JE157121,3/2/2021 3:00,065XX S HARVARD AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,False,False,722,7,20.0,68,14,1175189.0,1861676.0,2021,3/9/2021 15:54,41.77581828,-87.63332173,"(41.775818284, -87.633321727)"
21464,31156,12309834,JE162403,3/8/2021 4:00,001XX N WALLER AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,False,True,1512,15,29.0,25,14,1138136.0,1900512.0,2021,3/15/2021 16:48,41.8831377,-87.76822003,"(41.883137698, -87.768220034)"
12983,18884,12290063,JE137824,2/9/2021 0:00,022XX N LOWELL AVE,810,THEFT,OVER $500,STREET,False,False,2522,25,35.0,20,6,1147017.0,1914523.0,2021,2/19/2021 15:45,41.92142025,-87.73524944,"(41.921420251, -87.735249442)"
23713,34456,12314831,JE168482,3/14/2021 4:00,106XX S AVENUE M,1320,CRIMINAL DAMAGE,TO VEHICLE,RESIDENCE,False,True,432,4,10.0,52,14,1201520.0,1834989.0,2021,3/21/2021 16:49,41.70195864,-87.53770114,"(41.701958639, -87.537701144)"
15225,22113,12295494,JE144911,2/18/2021 1:00,027XX W HIRSCH ST,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,False,False,1423,14,26.0,24,14,1157943.0,1909198.0,2021,2/25/2021 15:51,41.90659191,-87.69524998,"(41.906591907, -87.695249977)"
7837,11618,12278018,JE122608,1/24/2021 18:30,063XX N CICERO AVE,810,THEFT,OVER $500,STREET,False,False,1711,17,39.0,12,6,1143268.0,1941730.0,2021,1/31/2021 15:48,41.99614949,-87.74834193,"(41.996149492, -87.748341928)"
12828,18657,12290369,JE138278,2/10/2021 12:30,0000X S STATE ST,1154,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT $300 AND UNDER,DEPARTMENT STORE,False,False,112,1,42.0,32,11,1176391.0,1900209.0,2021,2/19/2021 15:45,41.88152908,-87.62775517,"(41.881529075, -87.627755165)"
17158,24861,12301287,JE152295,2/24/2021 22:00,052XX S PRAIRIE AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,False,False,231,2,3.0,40,14,1178928.0,1870425.0,2021,3/3/2021 15:47,41.79974205,-87.61934865,"(41.799742051, -87.619348653)"
22673,32975,12312933,JE166160,3/11/2021 17:00,008XX W 103RD ST,560,ASSAULT,SIMPLE,COMMERCIAL / BUSINESS OFFICE,False,False,2232,22,34.0,73,08A,1172655.0,1836545.0,2021,3/18/2021 16:52,41.70691171,-87.64334978,"(41.706911711, -87.643349776)"
19845,28725,12306753,JE158742,3/3/2021 20:00,013XX N MILWAUKEE AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,ALLEY,False,False,1424,14,1.0,24,14,1164769.0,1908933.0,2021,3/10/2021 15:48,41.90572266,-87.67018291,"(41.905722657, -87.670182913)"
